type,price,beds,bath,propertysqft,latitude,longitude,borough,neighborhood,price_per_sqft
Multi-family,1085000,3,8,3480.0,40.5801478,-73.9835836,Manhattan,Brooklyn,311.78
Co-op,759000,2,2,2184.207862,40.8890444,-73.9137075,Bronx,Bronx,347.49
Multi-family,928500,5,4,2184.207862,40.7933742,-73.8458392,Manhattan,Queens,425.1
Co-op,349000,2,1,900.0,40.5781785,-73.9733314,Brooklyn,Brooklyn,387.78
Multi-family,1400000,6,2,2184.207862,40.7788549,-73.8246986,Manhattan,Queens,640.96
Townhouse,6495000,6,6,5232.0,40.7863645,-73.9735331,Manhattan,Manhattan,1241.4
Condo,1450000,3,2,1117.0,40.7420749,-73.9757973,Manhattan,Manhattan,1298.12
Co-op,599000,3,1,2184.207862,40.7494678,-73.9717468,Manhattan,Manhattan,274.24
Condo,2980000,3,3,1756.0,40.7961886,-73.949116,Manhattan,Manhattan,1697.04
Townhouse,15850000,5,6,2184.207862,40.7857744,-73.9562222,Manhattan,Manhattan,7256.64
Co-op,945000,2,1,2184.207862,40.7540096,-73.9637466,Manhattan,Manhattan,432.65
Co-op,389000,1,1,2184.207862,40.8683018,-73.9229016,Manhattan,Manhattan,178.1
Co-op,185000,3,1,400.0,40.722253,-73.855654,Queens,Queens,462.5
Condo,568000,1,1,2184.207862,40.7241743,-73.8448471,Queens,Queens,260.05
Condo,950000,1,1,2184.207862,40.7727634,-73.9809139,Manhattan,Manhattan,434.94
Condo,2000000,2,2,1441.0,40.692916,-74.0008815,Brooklyn,Brooklyn,1387.93
Multi-family,1069000,6,5,2184.207862,40.6755971,-73.7952881,Manhattan,Queens,489.42
House,599999,3,2,2184.207862,40.6494096,-73.9332856,Manhattan,Brooklyn,274.7
Condo,7600000,4,4,3216.0,40.7139639,-74.0127212,Manhattan,Manhattan,2363.18
Co-op,248000,1,1,2184.207862,40.7383072,-73.7776864,Queens,Queens,113.54
Condo,575000,1,1,1073.0,40.8387144,-73.9369924,Manhattan,Manhattan,535.88
Co-op,350000,2,1,850.0,40.8485417,-73.930871,Manhattan,Manhattan,411.76
Condo,695000,3,2,704.0,40.6829851,-73.9656007,Brooklyn,Brooklyn,987.22
House,875000,4,2,1600.0,40.6440698,-73.9539046,Manhattan,Brooklyn,546.88
Townhouse,4000000,6,4,5854.0,40.6777386,-73.9939495,Manhattan,Brooklyn,683.29
Co-op,195000,3,1,2184.207862,40.754307,-73.8769604,Manhattan,Queens,89.28
Co-op,410000,3,1,766.0,40.815359,-73.9374734,Manhattan,Manhattan,535.25
Townhouse,699000,4,2,2184.207862,40.6450331,-73.9279337,Manhattan,Brooklyn,320.02
House,699999,3,2,2184.207862,40.8070672,-73.8579727,Manhattan,Bronx,320.48
Multi-family,915000,6,5,3096.0,40.8471618,-73.8650964,Manhattan,Bronx,295.54
Co-op,399000,1,1,2184.207862,40.7517899,-73.88467,Queens,Queens,182.67
Co-op,995000,2,1,1000.0,40.776554,-73.9876401,Manhattan,Manhattan,995.0
Co-op,535000,2,1,1000.0,40.7616957,-73.9304941,Queens,Queens,535.0
Co-op,429000,1,1,575.0,40.692675,-73.96429,Brooklyn,Brooklyn,746.09
House,2195000,3,4,2184.207862,40.6679746,-73.9903952,Manhattan,Brooklyn,1004.94
Multi-family,1690000,7,7,4600.0,40.74073,-73.852058,Manhattan,Queens,367.39
Multi-family,1699999,4,3,2160.0,40.6116673,-74.0113637,Manhattan,Brooklyn,787.04
Co-op,235000,1,1,800.0,40.595967,-73.9504018,Brooklyn,Brooklyn,293.75
Condo,899000,2,1,1010.0,40.6756382,-73.9555242,Brooklyn,Brooklyn,890.1
Co-op,269999,1,1,2184.207862,40.7522899,-73.72315,Queens,Queens,123.61
Multi-family,1350000,6,2,2184.207862,40.6702558,-73.9375206,Manhattan,Brooklyn,618.07
House,735000,3,2,1600.0,40.6334425,-73.9402186,Manhattan,Brooklyn,459.38
House,1499000,3,2,2100.0,40.6063993,-73.9485994,Manhattan,Brooklyn,713.81
Multi-family,899999,5,3,1440.0,40.7604667,-73.8755356,Manhattan,Queens,625.0
Condo,900000,2,2,951.0,40.7958546,-73.9464985,Manhattan,Manhattan,946.37
House,629900,3,2,1332.0,40.5939996,-74.1910619,Manhattan,Staten Island,472.9
Co-op,280000,1,1,650.0,40.616988,-73.986133,Brooklyn,Brooklyn,430.77
Townhouse,1999000,5,2,3100.0,40.6816466,-73.9105641,Manhattan,Brooklyn,644.84
Condo,5100000,2,2,1676.0,40.7691094,-73.98162,Manhattan,Manhattan,3042.96
Condo,8500000,3,3,2080.0,40.7710757,-73.9809771,Manhattan,Manhattan,4086.54
Condo,1075000,3,4,2740.0,40.8125317,-73.8239933,Bronx,Bronx,392.34
Condo,950000,3,1,660.0,40.7641461,-73.9901764,Manhattan,Manhattan,1439.39
Co-op,875000,2,2,1275.0,40.6206952,-74.0402708,Brooklyn,Brooklyn,686.27
House,485000,2,2,816.0,40.8392076,-73.8539325,Manhattan,Bronx,594.36
Condo,598000,1,1,663.0,40.7533111,-73.8312005,Queens,Queens,901.96
House,2999000,4,2,1732.0,40.6212043,-73.9908884,Manhattan,Brooklyn,1731.52
Co-op,600000,3,1,2184.207862,40.7430502,-73.9967075,Manhattan,Manhattan,274.7
Co-op,355000,1,1,2184.207862,40.7336463,-73.8618276,Queens,Queens,162.53
Townhouse,889000,2,1,1056.0,40.7351177,-73.8536109,Manhattan,Queens,841.86
Multi-family,650000,3,3,2184.207862,40.7051893,-73.7542415,Manhattan,Queens,297.59
Co-op,629000,2,1,2184.207862,40.7822297,-73.9466255,Manhattan,Manhattan,287.98
Co-op,515000,2,2,1200.0,40.5866451,-73.949452,Brooklyn,Brooklyn,429.17
House,1600000,4,4,3150.0,40.5365056,-74.1988326,Manhattan,Staten Island,507.94
Multi-family,1900000,6,4,2000.0,40.6371891,-74.0089766,Manhattan,Brooklyn,950.0
Co-op,3395000,2,2,1800.0,40.7217139,-74.0103804,Manhattan,Manhattan,1886.11
Multi-family,1795000,5,3,1800.0,40.6691888,-73.9919673,Manhattan,Brooklyn,997.22
Co-op,549000,3,1,2184.207862,40.7310966,-73.9926682,Manhattan,Manhattan,251.35
Condo,6998000,4,4,3000.0,40.7227325,-74.0101225,Manhattan,Manhattan,2332.67
Multi-family,1400000,5,4,2250.0,40.5486237,-74.1868168,Manhattan,Staten Island,622.22
Co-op,750000,3,3,2184.207862,40.7540391,-73.9651308,Manhattan,Manhattan,343.37
Condo,349000,3,1,2184.207862,40.7436341,-73.916415,Queens,Queens,159.78
House,519999,3,2,1440.0,40.6396595,-74.1362682,Manhattan,Staten Island,361.11
Multi-family,1750000,7,3,4065.0,40.7721299,-73.8960008,Manhattan,Queens,430.5
House,868000,3,2,2184.207862,40.7303886,-73.8912581,Manhattan,Queens,397.4
Co-op,324900,1,1,665.0,40.8709037,-73.9155681,Manhattan,Manhattan,488.57
Condo,870000,1,1,620.0,40.7681878,-73.9845086,Manhattan,Manhattan,1403.23
Co-op,355000,2,1,1000.0,40.5782062,-73.973315,Brooklyn,Brooklyn,355.0
Condo,10900000,5,6,3633.0,40.7423282,-73.9911409,Manhattan,Manhattan,3000.28
House,6700000,3,2,2184.207862,40.626225,-74.0745645,Manhattan,Staten Island,3067.47
Co-op,268800,1,1,725.0,40.6086157,-73.9765291,Brooklyn,Brooklyn,370.76
Condo,640000,1,1,1022.0,40.6275896,-74.0016198,Brooklyn,Brooklyn,626.22
Co-op,2800000,2,2,2184.207862,40.7820603,-73.9562107,Manhattan,Manhattan,1281.93
Co-op,699000,2,2,1400.0,40.7216499,-73.84119,Queens,Queens,499.29
House,749000,5,4,2184.207862,40.6785851,-73.8497745,Manhattan,Queens,342.92
Multi-family,1800000,5,2,2184.207862,40.6958927,-73.9084857,Manhattan,Brooklyn,824.1
Condo,1025000,1,1,787.0,40.7188873,-73.9873574,Manhattan,Manhattan,1302.41
Condo,2449000,3,2,1744.0,40.7735704,-73.9461541,Manhattan,Manhattan,1404.24
House,659000,3,2,1460.0,40.6114323,-74.0667876,Manhattan,Staten Island,451.37
Multi-family,1499000,7,4,3570.0,40.7221698,-73.9011088,Manhattan,Queens,419.89
Condo,700000,3,1,474.0,40.7253082,-74.005407,Manhattan,Manhattan,1476.79
Co-op,235000,3,1,2184.207862,40.7469399,-73.8986099,Queens,Queens,107.59
Co-op,700000,2,1,900.0,40.7673126,-73.9584378,Manhattan,Manhattan,777.78
Townhouse,4895000,4,4,3622.0,40.7151591,-74.006685,Manhattan,Manhattan,1351.46
Condo,2350000,4,2,1847.0,40.8101077,-73.9546373,Manhattan,Manhattan,1272.33
Condo,456000,1,1,2184.207862,40.7442352,-73.8797855,Queens,Queens,208.77
Multi-family,1190000,5,4,3720.0,40.5153019,-74.2352069,Manhattan,Staten Island,319.89
Condo,5350000,3,4,2491.0,40.7518261,-74.002774,Manhattan,Manhattan,2147.73
Co-op,335000,2,1,2184.207862,40.7576854,-73.7298343,Manhattan,Queens,153.37
Condo,628000,3,2,1097.0,40.6449894,-74.0196153,Brooklyn,Brooklyn,572.47
House,710000,2,2,2250.0,40.8926424,-73.8409541,Manhattan,Bronx,315.56
House,790000,4,2,1744.0,40.631398,-73.9361773,Manhattan,Brooklyn,452.98
House,1300000,3,2,2184.207862,40.6074439,-73.9477154,Manhattan,Brooklyn,595.18
Co-op,800000,2,1,900.0,40.7720929,-73.9514513,Manhattan,Manhattan,888.89
House,699000,3,2,522.0,40.6200647,-73.9203764,Manhattan,Brooklyn,1339.08
Condo,1750000,1,1,2184.207862,40.7632867,-73.9700993,Manhattan,Manhattan,801.21
Co-op,416000,3,1,950.0,40.763716,-73.816271,Queens,Queens,437.89
Co-op,499000,1,1,800.0,40.6573594,-73.9554071,Brooklyn,Brooklyn,623.75
Co-op,425000,3,1,2184.207862,40.7247015,-73.9835768,Manhattan,Manhattan,194.58
Co-op,220000,1,1,2184.207862,40.7257927,-73.8727767,Manhattan,Queens,100.72
Condo,2400000,2,2,1375.0,40.782249,-73.958665,Manhattan,Manhattan,1745.45
Co-op,5995000,3,2,4200.0,40.7190306,-74.0054491,Manhattan,Manhattan,1427.38
Multi-family,988888,5,3,2184.207862,40.6748665,-73.908063,Manhattan,Brooklyn,452.74
Co-op,369000,3,1,2184.207862,40.7935524,-73.9687728,Manhattan,Manhattan,168.94
Condo,5799000,3,4,2497.0,40.7046228,-73.9878238,Brooklyn,Dumbo,2322.39
Co-op,229000,3,1,500.0,40.5822648,-73.9666622,Brooklyn,Brooklyn,458.0
Co-op,44500000,5,6,2184.207862,40.768973,-73.969136,Manhattan,Manhattan,20373.52
Co-op,235000,1,1,2184.207862,40.7315119,-73.8286528,Queens,Queens,107.59
Condo,3500000,3,2,1896.0,40.6781953,-73.9702616,Brooklyn,Brooklyn,1845.99
Co-op,875000,1,1,2184.207862,40.7459915,-73.9956777,Manhattan,Manhattan,400.6
Multi-family,1099000,6,5,3816.0,40.6241719,-74.0746007,Manhattan,Staten Island,288.0
Townhouse,579000,3,2,2184.207862,40.6863457,-73.8292298,Manhattan,Queens,265.08
House,868000,3,2,1690.0,40.7187347,-73.875063,Manhattan,Queens,513.61
House,699900,5,1,1827.0,40.6917678,-73.8540537,Manhattan,Queens,383.09
House,559900,3,2,2184.207862,40.6957516,-73.7490297,Manhattan,Queens,256.34
Co-op,650000,3,1,2184.207862,40.7362367,-74.0070136,Manhattan,Manhattan,297.59
Condo,209000,1,1,2184.207862,40.836532,-73.859174,Bronx,Bronx,95.69
Co-op,1695000,3,2,2184.207862,40.7731502,-73.9462859,Manhattan,Manhattan,776.03
House,570000,3,2,1728.0,40.869166,-73.8520258,Manhattan,Bronx,329.86
Co-op,419800,2,1,1000.0,40.7199582,-73.8357232,Queens,Queens,419.8
Condo,5900000,3,3,2706.0,40.744213,-73.987241,Manhattan,Manhattan,2180.34
Condo,1450000,2,2,1175.0,40.7092191,-74.0137534,Manhattan,Manhattan,1234.04
Multi-family,975000,7,4,1920.0,40.8345273,-73.8686683,Manhattan,Bronx,507.81
Co-op,210000,3,1,550.0,40.7323502,-73.8611654,Queens,Queens,381.82
Co-op,310000,1,1,2184.207862,40.9069228,-73.9062512,Bronx,Bronx,141.93
Townhouse,8575000,6,6,5500.0,40.7645068,-73.9653462,Manhattan,Manhattan,1559.09
Multi-family,1895000,5,4,2184.207862,40.6925254,-73.9260278,Manhattan,Brooklyn,867.59
Co-op,10500000,5,6,2184.207862,40.7753473,-73.9646138,Manhattan,Manhattan,4807.23
Condo,2990000,3,2,1721.0,40.7074175,-74.0135328,Manhattan,Manhattan,1737.36
Co-op,440000,2,1,2184.207862,40.6733835,-73.9300041,Brooklyn,Brooklyn,201.45
House,600000,2,2,2184.207862,40.6585229,-73.9047396,Brooklyn,Brooklyn,274.7
Co-op,160000,3,1,2184.207862,40.7376451,-73.8581248,Queens,Queens,73.25
House,599900,3,2,1534.0,40.8697604,-73.8408611,Manhattan,Bronx,391.07
Multi-family,2499000,7,4,2184.207862,40.6352404,-73.9966562,Manhattan,Brooklyn,1144.12
Multi-family,1850000,7,3,2240.0,40.6225358,-73.9970748,Manhattan,Brooklyn,825.89
Condo,888000,3,2,1700.0,40.6226046,-74.0176964,Brooklyn,Brooklyn,522.35
Multi-family,500000,3,2,2184.207862,40.810301,-73.9202983,Manhattan,Bronx,228.92
Condo,1995000,1,2,910.0,40.7852077,-73.9706676,Manhattan,Manhattan,2192.31
House,599000,3,2,1690.0,40.88047,-73.8503054,Manhattan,Bronx,354.44
Co-op,178000,3,1,719.0,40.7379227,-73.8470718,Manhattan,Queens,247.57
Co-op,279900,1,1,850.0,40.8901764,-73.9146261,Bronx,Bronx,329.29
House,9000000,3,2,2184.207862,40.6207751,-74.0273954,Manhattan,Brooklyn,4120.49
Co-op,119000,3,1,2184.207862,40.7095699,-73.79113,Queens,Queens,54.48
Co-op,935000,2,2,1150.0,40.7856236,-73.9507052,Manhattan,Manhattan,813.04
Co-op,318000,3,1,450.0,40.7467649,-73.976998,Manhattan,Manhattan,706.67
House,3399000,7,2,3446.0,40.7082867,-73.8335669,Manhattan,Queens,986.36
Townhouse,528000,2,2,2184.207862,40.6850187,-73.7977904,Manhattan,Queens,241.74
Townhouse,7800000,7,8,7200.0,40.7636541,-73.9681695,Manhattan,Manhattan,1083.33
Co-op,199888,1,1,2184.207862,40.6661012,-73.8471882,Queens,Queens,91.52
Multi-family,5950000,6,5,2184.207862,40.7534926,-73.9655356,Manhattan,Manhattan,2724.1
Co-op,315000,2,1,1000.0,40.890384,-73.9117878,Bronx,Bronx,315.0
Co-op,899000,1,1,2184.207862,40.7570928,-73.9663495,Manhattan,Manhattan,411.59
Multi-family,2050000,4,2,1760.0,40.735132,-73.9536334,Manhattan,Brooklyn,1164.77
Condo,615000,2,1,733.0,40.7654814,-73.8178731,Manhattan,Queens,839.02
Co-op,385000,3,1,440.0,40.7682097,-73.9846027,Manhattan,Manhattan,875.0
Condo,209000,1,1,650.0,40.6202645,-74.1099106,Staten Island,Staten Island,321.54
Co-op,259000,3,1,590.0,40.7510999,-73.89118,Queens,Queens,438.98
Co-op,695000,1,1,2184.207862,40.776554,-73.9876401,Manhattan,Manhattan,318.19
Multi-family,1980000,3,3,3536.0,40.5875466,-73.9501033,Manhattan,Brooklyn,559.95
Co-op,1950000,2,2,2184.207862,40.7341122,-74.004816,Manhattan,Manhattan,892.77
Multi-family,919000,6,3,1760.0,40.8529073,-73.830339,Manhattan,Bronx,522.16
House,285000,3,2,2184.207862,40.6695084,-73.8779921,Manhattan,Brooklyn,130.48
Co-op,499000,3,2,1200.0,40.831991,-73.919124,Bronx,Bronx,415.83
Co-op,359000,2,1,850.0,40.804259,-73.9415268,Manhattan,Manhattan,422.35
Condo,771770,2,2,710.0,40.7639577,-73.8325965,Queens,Queens,1087.0
Condo,3550000,3,2,2693.0,40.7404065,-73.9970822,Manhattan,Manhattan,1318.23
Co-op,4395000,6,4,2700.0,40.7822272,-73.9575194,Manhattan,Manhattan,1627.78
Co-op,695000,1,2,2184.207862,40.7687538,-73.9631311,Manhattan,Manhattan,318.19
Multi-family,1398000,4,2,2184.207862,40.7283735,-73.7970194,Manhattan,Queens,640.05
Condo,645000,3,1,419.0,40.7424515,-73.996531,Manhattan,Manhattan,1539.38
Multi-family,859000,6,3,2184.207862,40.8340749,-73.9113421,Manhattan,Bronx,393.28
House,19500000,5,7,2184.207862,40.7776535,-73.957772,Manhattan,Manhattan,8927.72
Condo,1250000,2,2,1434.0,40.810446,-73.943187,Manhattan,Manhattan,871.69
Co-op,449000,2,1,2184.207862,40.7493102,-73.7118303,Queens,Queens,205.57
Condo,7990000,5,4,5202.0,40.7221603,-74.0078633,Manhattan,Manhattan,1535.95
Co-op,3950000,2,2,2184.207862,40.7316673,-73.996478,Manhattan,Manhattan,1808.44
Multi-family,1399000,4,4,2049.0,40.6890219,-73.9244415,Manhattan,Brooklyn,682.77
Condo,7750000,3,3,2184.207862,40.7366739,-73.9966616,Manhattan,Manhattan,3548.2
Co-op,1049000,4,3,2400.0,40.881939,-73.9204858,Bronx,Bronx,437.08
House,995000,4,3,2000.0,40.8580267,-73.837909,Manhattan,Bronx,497.5
Co-op,3195000,3,3,2184.207862,40.7701916,-73.9682413,Manhattan,Manhattan,1462.77
Co-op,360000,2,2,2184.207862,40.7806336,-73.7800528,Queens,Queens,164.82
Co-op,750000,3,2,1600.0,40.7813792,-73.9554399,Manhattan,Manhattan,468.75
Co-op,18000000,6,6,2184.207862,40.7676314,-73.9668788,Manhattan,Manhattan,8240.97
Co-op,300000,1,1,800.0,40.5774084,-73.9732594,Brooklyn,Brooklyn,375.0
House,675888,3,1,1662.0,40.5517925,-74.1441587,Manhattan,Staten Island,406.67
Townhouse,4400000,3,2,2400.0,40.6819385,-73.9985074,Manhattan,Brooklyn,1833.33
Co-op,215000,1,1,2184.207862,40.7062291,-73.8326755,Queens,Queens,98.43
Condo,250000,3,1,2184.207862,40.6576494,-73.8782466,Brooklyn,Brooklyn,114.46
Multi-family,2749000,3,6,4480.0,40.5974982,-73.9539607,Manhattan,Brooklyn,613.62
Townhouse,860000,3,2,2000.0,40.6315943,-73.9376928,Manhattan,Brooklyn,430.0
Condo,1195000,1,1,713.0,40.7147947,-74.0064392,Manhattan,Manhattan,1676.02
House,825000,3,2,1400.0,40.7537084,-73.8542469,Manhattan,Queens,589.29
Co-op,295000,2,1,2184.207862,40.8858375,-73.9088586,Bronx,Riverdale,135.06
Condo,599000,1,1,2184.207862,40.7879956,-73.9485879,Manhattan,Manhattan,274.24
Multi-family,1169900,6,4,2310.0,40.7462943,-73.8609962,Manhattan,Queens,506.45
House,2795000,6,6,3600.0,40.6824096,-73.9820791,Manhattan,Brooklyn,776.39
House,6250000,4,2,4500.0,40.739891,-73.9882646,Manhattan,Manhattan,1388.89
Multi-family,2099000,3,6,3520.0,40.6190481,-73.9912327,Manhattan,Brooklyn,596.31
Co-op,339000,1,1,2184.207862,40.7162869,-73.8314446,Queens,Queens,155.21
Co-op,255000,1,1,2184.207862,40.7315119,-73.8286528,Queens,Queens,116.75
Co-op,140000,3,1,2184.207862,40.7101573,-73.7988498,Queens,Queens,64.1
Co-op,240000,3,1,500.0,40.7223221,-73.8493655,Queens,Queens,480.0
Co-op,1775000,2,2,2184.207862,40.7787812,-73.9837783,Manhattan,Manhattan,812.65
Co-op,1195000,2,2,650.0,40.7435603,-73.9784968,Manhattan,Manhattan,1838.46
House,699000,3,2,2040.0,40.8247339,-73.8794549,Manhattan,Bronx,342.65
Co-op,4150000,2,2,2184.207862,40.7701916,-73.9682413,Manhattan,Manhattan,1900.0
Co-op,299000,3,1,650.0,40.7533589,-73.8250479,Queens,Queens,460.0
Co-op,500000,3,1,450.0,40.7361563,-73.9977295,Manhattan,Manhattan,1111.11
Condo,450888,1,1,2184.207862,40.7319691,-73.8541569,Queens,Queens,206.43
Co-op,298000,1,1,790.0,40.5860215,-73.9668364,Brooklyn,Brooklyn,377.22
Co-op,230000,1,1,2184.207862,40.6291705,-73.9575654,Manhattan,Brooklyn,105.3
Condo,748000,2,2,713.0,40.7576255,-73.8231097,Queens,Queens,1049.09
Co-op,15500000,4,6,2184.207862,40.7985635,-73.943597,Manhattan,Manhattan,7096.39
Townhouse,6850000,4,4,2184.207862,40.7688879,-73.962056,Manhattan,Manhattan,3136.15
House,735000,3,2,2350.0,40.8170494,-73.802331,Manhattan,Bronx,312.77
Co-op,229999,1,1,2184.207862,40.7670999,-73.7274399,Queens,Queens,105.3
Co-op,385000,1,1,2184.207862,40.8512338,-73.9412096,Manhattan,Manhattan,176.27
Co-op,458000,2,1,2184.207862,40.750966,-73.885177,Queens,Queens,209.69
Co-op,3750000,2,2,2300.0,40.7218174,-73.9985808,Manhattan,Manhattan,1630.43
Co-op,3100000,2,2,2184.207862,40.7857788,-73.9693433,Manhattan,Manhattan,1419.28
Co-op,595000,3,1,2184.207862,40.7728688,-73.9653065,Manhattan,Manhattan,272.41
Co-op,470000,2,1,2184.207862,40.7633448,-73.9346195,Queens,Queens,215.18
House,399999,2,1,1056.0,40.6309242,-74.1212547,Manhattan,Staten Island,378.79
House,599000,4,2,1665.0,40.9052119,-73.8481704,Manhattan,Bronx,359.76
Condo,18950000,4,4,5075.0,40.7219635,-74.0033414,Manhattan,Manhattan,3733.99
Condo,2300000,2,2,1035.0,40.779437,-73.97814,Manhattan,Manhattan,2222.22
Co-op,420000,1,1,2184.207862,40.7389643,-73.9791144,Manhattan,Manhattan,192.29
Multi-family,1459000,5,4,3500.0,40.521212,-74.230732,Manhattan,Staten Island,416.86
Co-op,499000,1,1,2184.207862,40.7135079,-73.9794056,Manhattan,Manhattan,228.46
Condo,510000,2,2,972.0,40.806756,-73.853097,Manhattan,Bronx,524.69
Condo,825000,2,2,1001.0,40.8241865,-73.939702,Manhattan,Manhattan,824.18
House,1150000,3,2,1352.0,40.871637,-73.8984353,Manhattan,Bronx,850.59
Condo,6895000,2,2,2114.0,40.7663935,-73.9809909,Manhattan,Manhattan,3261.59
Co-op,165000,1,1,750.0,40.9047804,-73.9057444,Bronx,Bronx,220.0
House,874900,3,4,1500.0,40.5891334,-74.1468153,Manhattan,Staten Island,583.27
Co-op,245000,1,1,863.0,40.8758111,-73.8765929,Bronx,Bronx,283.89
Condo,565000,1,1,804.0,40.6053887,-73.9787595,Brooklyn,Brooklyn,702.74
Co-op,1950000,3,2,1265.0,40.7957847,-73.9498024,Manhattan,Manhattan,1541.5
Multi-family,699000,2,3,2184.207862,40.6769065,-73.9327329,Manhattan,Brooklyn,320.02
Co-op,1200000,1,1,1120.0,40.7088594,-74.001287,Manhattan,Manhattan,1071.43
House,1425000,5,4,2184.207862,40.7399679,-73.826261,Manhattan,Queens,652.41
Multi-family,1495000,3,6,5148.0,40.6137576,-73.9878002,Manhattan,Brooklyn,290.4
Multi-family,2375000,4,4,2184.207862,40.6537775,-73.9770686,Manhattan,Brooklyn,1087.35
Co-op,399000,1,1,675.0,40.8581217,-73.9322431,Manhattan,Manhattan,591.11
Co-op,4895000,4,2,3594.0,40.7338734,-73.9921219,Manhattan,Manhattan,1361.99
Co-op,12500000,5,2,2184.207862,40.7762654,-73.9595399,Manhattan,Manhattan,5722.9
Co-op,475000,3,1,2184.207862,40.7662222,-73.9516342,Manhattan,Manhattan,217.47
Co-op,11175000,4,6,3841.0,40.7825765,-73.9578338,Manhattan,Manhattan,2909.4
Co-op,825000,2,2,2184.207862,40.7636334,-73.9803004,Manhattan,Manhattan,377.71
Multi-family,1849000,6,3,3001.0,40.6648195,-73.9891783,Manhattan,Brooklyn,616.13
Co-op,699000,1,1,700.0,40.776434,-73.9771489,Manhattan,Manhattan,998.57
Condo,320000,2,1,802.0,40.840912,-73.8545918,Bronx,Bronx,399.0
Co-op,525000,1,1,2184.207862,40.7670221,-73.9628426,Manhattan,Manhattan,240.36
Co-op,650000,2,2,2184.207862,40.7581185,-73.9620574,Manhattan,Manhattan,297.59
Co-op,1650000,1,1,2184.207862,40.7737439,-73.9586221,Manhattan,Manhattan,755.42
Co-op,1425000,2,2,2184.207862,40.7730858,-73.9528703,Manhattan,Manhattan,652.41
Condo,418000,1,1,684.0,40.7946644,-73.8473931,Queens,Queens,611.11
House,339000,2,1,700.0,40.5633004,-74.1004012,Manhattan,Staten Island,484.29
Co-op,400000,1,1,2184.207862,40.762146,-73.9318948,Queens,Queens,183.13
House,699000,3,1,4000.0,40.6969277,-73.7655056,Manhattan,Queens,174.75
Condo,1325000,2,2,2184.207862,40.7622732,-73.9767193,Manhattan,Manhattan,606.63
Condo,1750000,6,3,3364.0,40.6585715,-73.9507462,Manhattan,Brooklyn,520.21
Multi-family,2100000,3,3,2000.0,40.6756187,-74.0002793,Manhattan,Brooklyn,1050.0
Co-op,205900,1,1,750.0,40.7119297,-73.826361,Queens,Bronx,274.53
Co-op,265000,1,1,765.0,40.6180698,-73.9699744,Brooklyn,Brooklyn,346.41
Co-op,169999,1,1,2184.207862,40.6661012,-73.8471882,Queens,Queens,77.83
House,775000,3,1,1696.0,40.8377397,-73.8241472,Manhattan,Bronx,456.96
House,685000,4,2,2269.0,40.5849183,-74.1599388,Manhattan,Staten Island,301.9
Multi-family,1245000,7,6,2184.207862,40.7591289,-73.8579008,Manhattan,Queens,570.0
Co-op,795000,1,1,2184.207862,40.7707242,-73.9542132,Manhattan,Manhattan,363.98
Condo,445000,3,1,402.0,40.7680157,-73.9174508,Queens,Queens,1106.97
Co-op,399000,2,1,960.0,40.5792324,-73.9713245,Brooklyn,Brooklyn,415.62
Multi-family,1990000,6,5,2150.0,40.7557556,-73.7774071,Manhattan,Queens,925.58
Co-op,529000,2,1,2184.207862,40.8558902,-73.9351781,Manhattan,Manhattan,242.19
Co-op,7500000,6,6,4200.0,40.7802712,-73.9567847,Manhattan,Manhattan,1785.71
Co-op,595000,1,1,2184.207862,40.8540347,-73.9393276,Manhattan,Manhattan,272.41
Co-op,525000,3,2,2184.207862,40.5794182,-73.9709078,Brooklyn,Brooklyn,240.36
Co-op,479000,2,1,1100.0,40.5778092,-73.9728288,Brooklyn,Brooklyn,435.45
Co-op,4995000,4,4,5500.0,40.7622996,-73.9698344,Manhattan,Manhattan,908.18
Co-op,460000,2,1,2184.207862,40.8002612,-73.9648347,Manhattan,Manhattan,210.6
House,1200000,4,2,2184.207862,40.75515,-73.7757869,Manhattan,Queens,549.4
Condo,5950000,2,2,1853.0,40.7347565,-74.0097145,Manhattan,Manhattan,3211.01
Condo,599000,1,1,626.0,40.7920582,-73.9393346,Manhattan,Manhattan,956.87
Co-op,350000,3,1,2184.207862,40.7556998,-73.9717539,Manhattan,Manhattan,160.24
Condo,420000,1,1,668.0,40.5783101,-73.9670934,Brooklyn,Brooklyn,628.74
Co-op,2199000,2,2,1770.0,40.7899034,-73.9774703,Manhattan,Manhattan,1242.37
Co-op,595000,1,1,700.0,40.754338,-73.964711,Manhattan,Manhattan,850.0
Co-op,249000,2,1,1000.0,40.5926635,-73.9388739,Brooklyn,Brooklyn,249.0
Condo,11000000,4,4,3452.0,40.7450569,-74.0027927,Manhattan,Manhattan,3186.56
Co-op,585000,1,1,2184.207862,40.8570262,-73.9361002,Manhattan,Manhattan,267.83
Co-op,115000,3,1,550.0,40.8716219,-73.8826018,Bronx,Bronx,209.09
Condo,779000,1,1,638.0,40.7422824,-73.9781111,Manhattan,Manhattan,1221.0
Condo,9975000,3,3,2241.0,40.7697189,-73.9810746,Manhattan,Manhattan,4451.14
Townhouse,925000,3,2,1875.0,40.7318932,-73.8001903,Manhattan,Queens,493.33
Co-op,2750000,2,2,2184.207862,40.7666667,-73.9797008,Manhattan,Manhattan,1259.04
Co-op,1450000,4,2,2184.207862,40.7494389,-73.9768133,Manhattan,Manhattan,663.86
